id,amount,date
00016e1c9af64b700a810ae53e4fe832,3830.0,2024-04-18
00084bf68a80ef04a7a03b331c17f160,2911.0,2024-04-17
00140d5c2f9ba5fe90648194448a859b,4658.0,2024-04-17
00158e301d4164b2cce0fbc7dbb620fc,4399.0,2024-04-20
00172c96ea53fc47ef0ee85df0c756b2,2110.0,2024-04-18
001b24c15e57b0e7d959be5d3f7c2f6b,3186.0,2024-04-18
001de6c054c58170e44c8789372206d1,1999.0,2024-04-21
002d19ac3df4169a83f0641b8fc82b91,3183.0,2024-04-23
002e5b973dd82f5c48fb12601b89ac99,1849.0,2024-04-20
00301881e2f738dcf179f16c5246d750,4306.0,2024-04-20
0031065b7a3f7b6ff3e761fea6e160d5,3016.0,2024-04-22
0035dee0098c9c84312308a586f4bc44,2511.0,2024-04-19
0037cc038b47043df393b55d5183d3ec,684.0,2024-04-23
00382137f27949042508135ce86a71ac,2627.0,2024-04-23
0039f16fd98547f3508dbb09a8ba2fd2,3060.0,2024-04-17
003a6b399c4101b146db8cc4250bdff1,1499.0,2024-04-23
0042c81824e039387291593a0adadb0a,9279.0,2024-04-17
004338b2da4f3657bf12c5e0cedc081d,2736.0,2024-04-20
004c80261f96572a32424b3db9008783,2734.0,2024-04-20
004d989f918774f0ca80ff04ba87c955,3167.0,2024-04-21
005260e68d9973e4f714e664a1294103,5435.0,2024-04-19
0052796d7dad2bd2acdff2f3f856a74d,4137.0,2024-04-23
00527b8ed1908c25eb2d0f6be2db53fc,1791.0,2024-04-19
00597b695d734aeb5439c2d5005180ee,4499.0,2024-04-22
005e31a3b01f6bbe8524b535f8052c5f,6018.0,2024-04-18
005f6a7f631c1347db3cd2986c8936e5,4784.0,2024-04-21
0061155c960d5b7733731f7ec9511f49,1637.0,2024-04-18
00644a9230cdd83af14309e132abec79,3095.0,2024-04-22
0065e1fc742bdfeac345f46f964f2e9a,1487.0,2024-04-18
006607c90e2d8309fc54e6931c9238e2,1149.0,2024-04-17
006ec1c82f5955d411fec46957071fe0,2442.0,2024-04-21
0070d96539922503894bfd2ebdd85684,4879.0,2024-04-20
00722ce5342231afe57341959815bf21,5600.0,2024-04-21
0073088c18f58f66094b005fb27ecc7a,4804.0,2024-04-17
0074bfb411f8da42028ad78413eed1ce,10662.0,2024-04-20
007972a4b3449ff9b41a0ef0e88a3317,2537.0,2024-04-23
0080dec383bf334b8572c58b5dcb8fc9,3575.0,2024-04-23
008abcab3103dcbae30287d78796258f,4225.0,2024-04-20
008c0d3ba301dcb29130b64c66c29ffa,2712.0,2024-04-23
008d129f78491036b7dd8c28dd7c830c,1955.0,2024-04-20
0097982b5364b115597729d18585a4bc,3916.0,2024-04-20
0097990e7783240b2a4d814b9300fa27,3437.0,2024-04-17
0099b34169ef24bd1ec269e6c3c5bff7,2335.0,2024-04-17
009c8d5601273f5fd03e7a756cb783ea,1719.0,2024-04-23
00a08fa8f5dbc594cb1cb4195c22946c,2246.0,2024-04-22
00a1ea54640eddaeb2adbd26bfeac139,5131.0,2024-04-23
00a296d4de5722753dcfffc8dacf9d50,3123.0,2024-04-18
00a423590f8c169a6bd263cf3264d889,2981.0,2024-04-18
00a429d67f5b453369599dc6daa86a11,2968.0,2024-04-18
00a4fa815e0f6edecbb6f9d9420dc524,3588.0,2024-04-21
00a726190f753e8ea50c6f12bc4e2cd4,3300.0,2024-04-23
00a7afabf5cf162714a30a3737a0ccef,1290.0,2024-04-19
00ab5f95d107bbba5cb19d31f3556ab7,3420.0,2024-04-19
00b595d63e0f1a3d347a55064471a2c4,3380.0,2024-04-18
00b79ecd50e2e91e920921613e8d4102,1453.0,2024-04-23
00ba430b81f0e33b7dd4c21b0c4e581b,3291.0,2024-04-23
00bb0263741627420656d773ea57c52f,4001.0,2024-04-21
00bd481c5cc9fa29a754d05f112dd790,3291.0,2024-04-18
00bdc7b1867e018203f932931c43f629,848.0,2024-04-22
00c2b587eb31aa29f31d4cca01b4f0ef,2052.0,2024-04-18
00c437aabfd47b4544f14d2f0408de4a,5356.0,2024-04-17
00c443ca0765bb29eb4ac28cc9914100,4200.0,2024-04-17
00c6220bb6283bceb2157c6d7a6f2c41,2835.0,2024-04-21
00caa0d460806b9181c64cda419853b5,3758.0,2024-04-22
00d3067ecb309095b67b2f21fa8b81a5,5620.0,2024-04-18
00d4d6aa01e49470489b5fb5f83b42b1,2689.0,2024-04-23
00d701064cd6ceb73c1063c005ebb0b8,6188.0,2024-04-20
00d8952188c79092e9c80417b7372a22,4572.0,2024-04-22
00dc6ea549a8f113b322720dff7f7d09,3194.0,2024-04-22
00dc89b0e873b3d905219c41a20429b8,2964.0,2024-04-21
00dcc235c0fa50642f2bf25eacb8e642,3471.0,2024-04-17
00ddddd54ae2ce179a667912717ff0c9,4305.0,2024-04-22
00df91781cfe824b7234496ba52f0e02,1961.0,2024-04-18
00e24fc88bd3e953e9942a9bf5a40e97,2880.0,2024-04-20
00e27a94ffc88673dedf2791eb396485,5879.0,2024-04-21
00e2d604deafce16c3ba3346d9b85b28,3927.0,2024-04-23
00e300b0da9558a3a45ba81cd19024dd,814.0,2024-04-18
00e586d124d828eb25454025f4e04aa1,2897.0,2024-04-17
00e783d97eb985d9ea400803c11750aa,2452.0,2024-04-19
00ec2335989b9e717fc356366c0d5957,3416.0,2024-04-17
00f28ebb35294c1e3b08dddf60911f1a,5654.0,2024-04-19
00f2cac934ae63561adecd5ad7e94f3a,3139.0,2024-04-22
00f3d9b67c7545b2df5063db6db8d1a8,5134.0,2024-04-19
00f4bc1b73afbdf80cd9927d8d82bf9d,2864.0,2024-04-22
00f559d6e57a33eeff4e1a17784fd55e,1621.0,2024-04-21
00f636d9447ea44fbfb4d82516447a6f,4829.0,2024-04-20
00f7950c573bd90a3f8d54709b9653d6,2143.0,2024-04-20
01024dd30687a26cd9fcbdaca419fb6b,2878.0,2024-04-23
0105378144f96b61242cf9cc0b76bb8d,9451.0,2024-04-18
0108a7f52855a1f2cf1a3cf50372e162,4416.0,2024-04-22
0109f21ef431ffcca45a70dac9fea873,5249.0,2024-04-21
010cb4252e980b2e213867ee6e6c62d0,2721.0,2024-04-17
010cd8cff8cade0cf94c8fa1ff587ac3,1839.0,2024-04-22
010d4386c3e6468fe6fab9ef19629cbb,1222.0,2024-04-19
0110e5880ce7f42da8d991679171ffc3,1729.0,2024-04-18
0120549f31570f8bf4cccdfa60bb1285,2918.0,2024-04-17
